id,name,type
0236400,"Juneau city and, AK",borough
0270540,"Sitka city and, AK",borough
0286380,"Wrangell city and, AK",borough
0200760,"Akiachak, AK",cdp
0201305,"Alatna, AK",cdp
0201390,"Alcan Border, AK",cdp
0201560,"Aleneva, AK",cdp
0203110,"Anchor Point, AK",cdp
0203990,"Arctic Village, AK",cdp
0204430,"Atmautluak, AK",cdp
0205000,"Badger, AK",cdp
0205585,"Bear Creek, AK",cdp
0205750,"Beaver, AK",cdp
0206245,"Beluga, AK",cdp
0206850,"Big Delta, AK",cdp
0207070,"Big Lake, AK",cdp
0207620,"Birch Creek, AK",cdp
0209657,"Buffalo Soapstone, AK",cdp
0209710,"Butte, AK",cdp
0210150,"Cantwell, AK",cdp
0211690,"Central, AK",cdp
0211800,"Chalkyitsik, AK",cdp
0212350,"Chase, AK",cdp
0212920,"Chena Ridge, AK",cdp
0212970,"Chenega, AK",cdp
0213340,"Chickaloon, AK",cdp
0213450,"Chicken, AK",cdp
0213670,"Chignik Lagoon, AK",cdp
0213780,"Chignik Lake, AK",cdp
0213860,"Chiniak, AK",cdp
0213890,"Chisana, AK",cdp
0214000,"Chistochina, AK",cdp
0214110,"Chitina, AK",cdp
0214880,"Circle, AK",cdp
0215320,"Clam Gulch, AK",cdp
0216420,"Cohoe, AK",cdp
0216630,"Coldfoot, AK",cdp
0216750,"College, AK",cdp
0217190,"Cooper Landing, AK",cdp
0217300,"Copper Center, AK",cdp
0217670,"Covenant Life, AK",cdp
0217850,"Crooked Creek, AK",cdp
0217960,"Crown Point, AK",cdp
0218675,"Deltana, AK",cdp
0218925,"Diamond Ridge, AK",cdp
0219720,"Dot Lake, AK",cdp
0219750,"Dot Lake Village, AK",cdp
0220020,"Dry Creek, AK",cdp
0220600,"Eagle Village, AK",cdp
0220970,"Edna Bay, AK",cdp
0221370,"Eielson AFB, AK",cdp
0222140,"Elfin Cove, AK",cdp
0223460,"Ester, AK",cdp
0223720,"Eureka Roadhouse, AK",cdp
0223790,"Evansville, AK",cdp
0223900,"Excursion Inlet, AK",cdp
0224980,"Farmers Loop, AK",cdp
0225000,"Farm Loop, AK",cdp
0225220,"Ferry, AK",cdp
0225550,"Fishhook, AK",cdp
0225880,"Flat, AK",cdp
0226100,"Fort Greely, AK",cdp
0226835,"Four Mile Road, AK",cdp
0226870,"Fox, AK",cdp
0226910,"Fox River, AK",cdp
0227090,"Fritz Creek, AK",cdp
0227145,"Funny River, AK",cdp
0227420,"Gakona, AK",cdp
0227700,"Game Creek, AK",cdp
0228200,"Gateway, AK",cdp
0228590,"Glacier View, AK",cdp
0228740,"Glennallen, AK",cdp
0229130,"Goldstream, AK",cdp
0230500,"Gulkana, AK",cdp
0231050,"Haines, AK",cdp
0231270,"Halibut Cove, AK",cdp
0231710,"Happy Valley, AK",cdp
0231765,"Harding-Birch Lakes, AK",cdp
0232150,"Healy, AK",cdp
0232310,"Healy Lake, AK",cdp
0232550,"Hobart Bay, AK",cdp
0232810,"Hollis, AK",cdp
0233580,"Hope, AK",cdp
0234570,"Hyder, AK",cdp
0234790,"Igiugig, AK",cdp
0235120,"Iliamna, AK",cdp
0235890,"Ivanof Bay, AK",cdp
0237250,"Kalifornsky, AK",cdp
0237540,"Karluk, AK",cdp
0237975,"Kasigluk, AK",cdp
0238090,"Kasilof, AK",cdp
0238910,"Kenny Lake, AK",cdp
0239630,"King Salmon, AK",cdp
0239740,"Kipnuk, AK",cdp
0240510,"Klukwan, AK",cdp
0240645,"Knik-Fairview, AK",cdp
0240670,"Knik River, AK",cdp
0241210,"Kodiak Station, AK",cdp
